fens,moves,score
r2q1rk1/1ppbbpp1/p1n1pn2/6P1/1PpP2P1/8/P3PPB1/RNBQK2R b Q - 0 12,f6e4,-1
r2q1rk1/1ppbbpp1/p1n1p3/6P1/1PpPn1P1/8/P3PPB1/RNBQK2R w Q - 1 13,e2e3,1
r2q1rk1/1ppbbpp1/p1n1p3/6P1/1PpPn1P1/4P3/P4PB1/RNBQK2R b Q - 0 13,c6d4,-1
r2q1rk1/1ppbbpp1/p3p3/6P1/1Ppnn1P1/4P3/P4PB1/RNBQK2R w Q - 0 14,e3d4,1
r2q1rk1/1ppbbpp1/p3p3/6P1/1PpPn1P1/8/P4PB1/RNBQK2R b Q - 0 14,e4d2,-1
r2q1rk1/1ppbbpp1/p3p3/6P1/1PpP2P1/8/P2n1PB1/RNBQK2R w Q - 1 15,h1f1,1
r2q1rk1/1ppbbpp1/p3p3/6P1/1PpP2P1/8/P2n1PB1/RNBQKR2 b Q - 2 15,d2f3,-1
r2q1rk1/1ppbbpp1/p3p3/6P1/1PpP2P1/5n2/P4PB1/RNBQKR2 w Q - 3 16,g2f3,1
r2q1rk1/1ppbbpp1/p3p3/6P1/1PpP2P1/5B2/P4P2/RNBQKR2 b Q - 0 16,e7f6,-1
r2q1rk1/1ppb1pp1/p3pb2/6P1/1PpP2P1/5B2/P4P2/RNBQKR2 w Q - 1 17,g5f6,1
r2q1rk1/1ppb1pp1/p3pP2/8/1PpP2P1/5B2/P4P2/RNBQKR2 b Q - 0 17,g7f6,-1
r2q1rk1/1ppb1p2/p3pp2/8/1PpP2P1/5B2/P4P2/RNBQKR2 w Q - 0 18,c1b2,1
r2q1rk1/1ppb1p2/p3pp2/8/1PpP2P1/5B2/PB3P2/RN1QKR2 b Q - 1 18,e6e5,-1
r2q1rk1/1ppb1p2/p4p2/4p3/1PpP2P1/5B2/PB3P2/RN1QKR2 w Q - 0 19,d4e5,1
